MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3395-03-C,1034,12.25,VERTEX 50,912.0,,,,1.0,,,5.5,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3395-03-C,1035,12.25,VERTEX 50,890.0,,,,1.0,,,5.5,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3395-03-C,1128,12.25,VERTEX 50,954.0,,,,1.0,,,5.5,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3395-03-C,1129,12.25,VERTEX 50,918.0,,,,1.0,,,5.5,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3395-03-C,1130,12.25,VERTEX 50,955.0,,,,1.0,,,5.5,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3395-03-C,1131,12.25,VERTEX 50,978.0,,,,1.0,,,5.5,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3395-03-C,1132,12.25,VERTEX 50,954.0,,,,1.0,,,5.5,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3395-03-C,1133,12.25,VERTEX 50,953.0,,,,1.0,,,5.5,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3395-03-C,1227,12.25,VERTEX 50,954.0,,,,1.0,,,5.5,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3395-03-C,1326,12.25,VERTEX 50,954.0,,,,1.0,,,5.5,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3395-03-C,1723,12.25,VERTEX 50,954.0,,,,1.0,,,5.5,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3395-03-C,5031,12.25,VERTEX 50,954.0643613,,,,,,,6.5,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3395-03-C,4038,10.625,VERTEX 50,755.5092187999999,,,,,,,6.0,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3395-03-C,3055,6.5,VERTEX 50,299.719134,,,,,,,5.5,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3395-03-C,3056,6.5,VERTEX 50,299.719134,,,,,,,5.5,,,VERTEX 50,,,,,,,,,,
