MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3455-05,3114,10.625,VERTEX 50,906.6110625,,,,0.0,,,6.0,,,,,,,,,,,,,
MAF9-SE-3455-05,3228,6.5,VERTEX 50,302.2639191,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3455-05,3229,6.5,VERTEX 50,299.719134,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3455-05,3230,6.5,VERTEX 50,299.719134,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3455-05,3231,6.5,VERTEX 50,299.719134,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3455-05,3243,6.5,VERTEX 50,299.719134,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3455-05,3248,6.5,VERTEX 50,299.719134,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3455-05,3282,6.5,VERTEX 50,299.719134,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3455-05,1,6.5,,,,,,,,,,,16.0,VERTEX 50,256.0,,,,,,,6.5,,
MAF9-SE-3455-05,2,12.25,,,,,,,,,,,15.0,VERTEX 50,841.0,,,,,,,6.5,,
MAF9-SE-3455-05,3,12.25,,,,,,,,,,,16.2,VERTEX 50,920.0,,,,,,,7.1,,
MAF9-SE-3455-05,4,12.25,,,,,,,,,,,16.1,VERTEX 50,916.0,,,,,,,7.1,,
MAF9-SE-3455-05,5,12.25,,,,,,,,,,,16.1,VERTEX 50,909.0,,,,,,,7.1,,
MAF9-SE-3455-05,6,12.25,,,,,,,,,,,16.5,VERTEX 50,940.0,,,,,,,7.2,,
MAF9-SE-3455-05,7,12.25,,,,,,,,,,,16.2,VERTEX 50,1075.0,,,,,,,5.5,,
MAF9-SE-3455-05,8,12.25,,,,,,,,,,,16.3,VERTEX 50,932.0,,,,,,,7.0,,
MAF9-SE-3455-05,9,6.5,,,,,,,,,,,16.1,VERTEX 50,300.0,,,,,,,5.5,,
MAF9-SE-3455-05,10,6.5,,,,,,,,,,,16.1,VERTEX 50,300.0,,,,,,,5.5,,
