MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2750-03,1101,12.25,VERTEX 70,459.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2750-03,1102,12.25,VERTEX 70,459.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2750-05,1407,12.25,VERTEX 70,459.0,,,,0.0,,,5.0,,,,,,,,,,,,,
MAF7-R1-2750-06,101,7.875,EMULTEX BN,145.0,,,,1.7,,,4.0,,,,,,,,,,,,,
MAF7-R1-2750-06,102,7.875,EMULTEX BN,145.0,,,,2.1,,,4.0,,,,,,,,,,,,,
MAF7-R1-2750-06,103,7.875,EMULTEX BN,228.0,,,,0.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,104,7.875,EMULTEX BN,228.0,,,,0.5,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,105,7.875,EMULTEX BN,228.0,,,,0.9,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,106,7.875,EMULTEX BN,228.0,,,,1.3,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,107,7.875,EMULTEX BN,228.0,,,,1.8,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,108,7.875,EMULTEX BN,228.0,,,,2.2,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,109,7.875,EMULTEX BN,228.0,,,,2.6,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,110,7.875,EMULTEX BN,228.0,,,,3.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,201,7.875,EMULTEX BN,159.0,,,,0.0,,,5.8,,,,,,,,,,,,,
MAF7-R1-2750-06,202,7.875,EMULTEX BN,43.0,,,,0.0,,,1.6,,,,,,,,,,,,,
MAF7-R1-2750-06,203,7.875,EMULTEX BN,249.0,,,,0.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,204,7.875,EMULTEX BN,266.0,,,,0.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,205,7.875,EMULTEX BN,286.0,,,,0.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,206,7.875,EMULTEX BN,303.0,,,,0.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,207,7.875,EMULTEX BN,311.0,,,,0.2,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,208,7.875,EMULTEX BN,311.0,,,,0.7,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,209,7.875,EMULTEX BN,311.0,,,,1.1,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,210,7.875,EMULTEX BN,311.0,,,,1.5,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,301,10.625,EMULTEX BN,193.0,,,,0.0,,,3.8,,,,,,,,,,,,,
MAF7-R1-2750-06,302,10.625,EMULTEX BN,187.0,,,,0.0,,,3.7,,,,,,,,,,,,,
MAF7-R1-2750-06,303,10.625,EMULTEX BN,323.0,,,,0.0,,,6.4,,,,,,,,,,,,,
MAF7-R1-2750-06,304,10.625,EMULTEX BN,213.0,,,,0.0,,,4.2,,,,,,,,,,,,,
MAF7-R1-2750-06,305,10.625,EMULTEX BN,218.0,,,,0.0,,,4.3,,,,,,,,,,,,,
MAF7-R1-2750-06,306,10.625,EMULTEX BN,232.0,,,,0.0,,,4.6,,,,,,,,,,,,,
MAF7-R1-2750-06,307,10.625,EMULTEX BN,229.0,,,,0.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,401,10.625,VERTEX 70,187.0,,,,0.0,,,3.7,,,,,,,,,,,,,
MAF7-R1-2750-06,402,10.625,VERTEX 70,313.0,,,,0.0,,,6.1,,,,,,,,,,,,,
MAF7-R1-2750-06,403,10.625,VERTEX 70,217.0,,,,0.0,,,4.3,,,,,,,,,,,,,
MAF7-R1-2750-06,404,10.625,VERTEX 70,344.0,,,,0.0,,,6.7,,,,,,,,,,,,,
MAF7-R1-2750-06,405,10.625,VERTEX 70,217.0,,,,0.0,,,4.2,,,,,,,,,,,,,
MAF7-R1-2750-06,406,10.625,VERTEX 70,217.0,,,,0.0,,,4.2,,,,,,,,,,,,,
MAF7-R1-2750-06,407,10.625,VERTEX 70,241.0,,,,0.0,,,4.7,,,,,,,,,,,,,
MAF7-R1-2750-06,408,10.625,VERTEX 70,251.0,,,,0.0,,,4.9,,,,,,,,,,,,,
MAF7-R1-2750-06,501,10.625,VERTEX 70,185.0,,,,0.0,,,3.6,,,,,,,,,,,,,
MAF7-R1-2750-06,502,10.625,VERTEX 70,319.0,,,,0.0,,,6.2,,,,,,,,,,,,,
MAF7-R1-2750-06,503,10.625,VERTEX 70,217.0,,,,0.0,,,4.2,,,,,,,,,,,,,
MAF7-R1-2750-06,504,10.625,VERTEX 70,228.0,,,,0.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,505,10.625,VERTEX 70,232.0,,,,0.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2750-06,506,10.625,VERTEX 70,224.0,,,,0.0,,,4.4,,,,,,,,,,,,,
MAF7-R1-2750-06,507,10.625,VERTEX 70,235.0,,,,0.0,,,4.6,,,,,,,,,,,,,
MAF7-R1-2750-06,601,10.625,VERTEX 70,185.0,,,,0.0,,,3.6,,,,,,,,,,,,,
MAF7-R1-2750-06,602,10.625,VERTEX 70,202.0,,,,0.0,,,3.9,,,,,,,,,,,,,
MAF7-R1-2750-06,603,10.625,VERTEX 70,201.0,,,,0.0,,,3.9,,,,,,,,,,,,,
MAF7-R1-2750-06,604,10.625,VERTEX 70,203.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2750-06,605,10.625,VERTEX 70,221.0,,,,0.0,,,4.3,,,,,,,,,,,,,
MAF7-R1-2750-06,606,10.625,VERTEX 70,221.0,,,,0.0,,,4.3,,,,,,,,,,,,,
MAF7-R1-2750-06,607,10.625,VERTEX 70,220.0,,,,0.0,,,4.3,,,,,,,,,,,,,
MAF7-R1-2750-06,608,10.625,VERTEX 70,234.0,,,,0.0,,,4.6,,,,,,,,,,,,,
MAF7-R1-2750-06,111,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,112,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,113,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,114,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,115,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,116,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,117,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,118,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,119,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,120,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,121,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,122,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,123,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,124,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,125,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,126,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,127,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,128,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,140,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,141,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,142,7.875,EMULTEX BN,83.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,211,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,212,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,213,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,214,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,215,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,216,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,217,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,218,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,219,7.875,EMULTEX BN,104.0,,,,1.5,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,220,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,221,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,222,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,223,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,224,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,225,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,226,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,227,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,228,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,229,7.875,EMULTEX BN,104.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,308,10.625,VERTEX 70,343.9032175,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,309,10.625,VERTEX 70,318.74705,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,310,10.625,VERTEX 70,287.3785361,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,311,10.625,VERTEX 70,191.739082,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,312,10.625,VERTEX 70,191.739082,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2750-06,313,10.625,VERTEX 70,191.739082,,,,0.0,,,3.5,,,,,,,,,,,,,
