MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2787.5-05,101,7.875,BLENDEX 930,94.0,,,,1.5,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,102,7.875,BLENDEX 930,94.0,,,,1.5,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,109,7.875,BLENDEX 930,94.0,,,,1.5,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,110,7.875,BLENDEX 930,94.0,,,,1.5,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,111,7.875,BLENDEX 930,94.0,,,,1.5,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,112,7.875,BLENDEX 930,94.0,,,,1.5,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,209,7.875,BLENDEX 930,173.0,,,,0.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2787.5-05,210,7.875,BLENDEX 930,173.0,,,,0.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2787.5-05,211,7.875,BLENDEX 930,173.0,,,,1.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2787.5-05,212,7.875,BLENDEX 930,173.0,,,,0.0,,,4.5,,,,,,,,,,,,,
MAF7-R1-2787.5-05,300,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,301,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,400,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,401,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,402,7.875,VERTEX 50,253.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,500,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,501,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,502,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,600,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,601,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,604,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,700,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,701,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,702,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,800,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,801,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,900,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,1001,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,1002,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,1003,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,1004,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,1005,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,1006,7.875,VERTEX 50,249.0,,,,0.0,,,4.0,,,,,,,,,,,,,
MAF7-R1-2787.5-05,1008,7.875,VERTEX 50,88.0,,,,0.0,,,3.2,,,,,,,,,,,,,
MAF7-R1-2787.5-05,AUX,,,,,,,,,,,,,VERTEX 50,270.0,,,,0.0,,,5.5,,
