MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2810-09,891,12.25,VERTEX 50,1005.0,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF7-R1-2810-09,924,12.25,VERTEX 50,1001.0,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF7-R1-2810-09,1013,12.25,VERTEX 50,1054.0,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF7-R1-2810-09,1102,12.25,VERTEX 50,1054.0,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF7-R1-2810-09,1103,12.25,VERTEX 50,1054.0,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF7-R1-2810-09,2215,7.875,VERTEX 50,337.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3101,7.875,VERTEX 50,104.0,,,,0.0,,,2.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3102,7.875,VERTEX 50,104.0,,,,0.0,,,2.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3103,7.875,VERTEX 50,117.0,,,,0.0,,,2.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3104,7.875,VERTEX 50,134.0,,,,0.0,,,2.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3105,7.875,VERTEX 50,152.0,,,,0.0,,,2.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3106,7.875,VERTEX 50,169.0,,,,0.0,,,2.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3107,7.875,VERTEX 50,165.0,,,,0.0,,,3.0,,,,,,,,,,,,,
MAF7-R1-2810-09,3108,7.875,VERTEX 50,183.0,,,,0.0,,,3.0,,,,,,,,,,,,,
MAF7-R1-2810-09,3109,7.875,VERTEX 50,203.0,,,,0.0,,,3.0,,,,,,,,,,,,,
MAF7-R1-2810-09,3110,7.875,VERTEX 50,226.0,,,,0.0,,,3.0,,,,,,,,,,,,,
MAF7-R1-2810-09,3111,7.875,VERTEX 50,234.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3112,7.875,VERTEX 50,259.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3113,7.875,VERTEX 50,284.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3114,7.875,VERTEX 50,332.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3115,7.875,VERTEX 50,337.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3116,7.875,VERTEX 50,366.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3117,7.875,VERTEX 50,393.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3201,7.875,VERTEX 50,104.0,,,,0.0,,,2.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3202,7.875,VERTEX 50,104.0,,,,0.0,,,2.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3203,7.875,VERTEX 50,117.0,,,,0.0,,,2.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3204,7.875,VERTEX 50,134.0,,,,0.0,,,2.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3205,7.875,VERTEX 50,152.0,,,,0.0,,,2.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3206,7.875,VERTEX 50,169.0,,,,0.0,,,2.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3207,7.875,VERTEX 50,165.0,,,,0.0,,,3.0,,,,,,,,,,,,,
MAF7-R1-2810-09,3208,7.875,VERTEX 50,183.0,,,,0.0,,,3.0,,,,,,,,,,,,,
MAF7-R1-2810-09,3209,7.875,VERTEX 50,203.0,,,,0.0,,,3.0,,,,,,,,,,,,,
MAF7-R1-2810-09,3210,7.875,VERTEX 50,226.0,,,,0.0,,,3.0,,,,,,,,,,,,,
MAF7-R1-2810-09,3211,7.875,VERTEX 50,234.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3212,7.875,VERTEX 50,259.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3213,7.875,VERTEX 50,284.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3214,7.875,VERTEX 50,332.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3215,7.875,VERTEX 50,337.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3216,7.875,VERTEX 50,366.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3217,7.875,VERTEX 50,393.0,,,,0.0,,,3.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3301,12.25,VERTEX 50,926.0,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3302,12.25,VERTEX 50,931.0,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3401,12.25,VERTEX 50,912.0,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3402,12.25,VERTEX 50,940.0,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF7-R1-2810-09,3403,12.25,VERTEX 50,952.0,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF7-R1-2810-09,1,7.875,,,,,,,,,,,5.3,Vertex 70,117.0,,,,,,,2.5,,
MAF7-R1-2810-09,2,7.875,,,,,,,,,,,5.7,Vertex 70,134.0,,,,,,,2.5,,
MAF7-R1-2810-09,3,7.875,,,,,,,,,,,6.2,Vertex 70,152.0,,,,,,,2.6,,
MAF7-R1-2810-09,4,7.875,,,,,,,,,,,6.6,Vertex 70,169.0,,,,,,,2.5,,
MAF7-R1-2810-09,1,6.5,,,,,,,,,,,15.0,VERTEX 50,320.0,,,,,,,4.0,,
MAF7-R1-2810-09,2,6.5,,,,,,,,,,,15.0,VERTEX 50,320.0,,,,,,,4.0,,
MAF7-R1-2810-09,3,6.5,,,,,,,,,,,16.0,VERTEX 50,360.0,,,,,,,4.0,,
MAF7-R1-2810-09,4,6.5,,,,,,,,,,,16.0,VERTEX 50,360.0,,,,,,,4.0,,
MAF7-R1-2810-09,5,6.5,,,,,,,,,,,15.0,VERTEX 50,320.0,,,,,,,4.0,,
MAF7-R1-2810-09,6,6.5,,,,,,,,,,,15.0,VERTEX 50,320.0,,,,,,,4.0,,
