MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3320-04,1203.0,12.25,VERTEX 50,1123.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1204.0,12.25,VERTEX 50,1100.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1205.0,12.25,VERTEX 50,1123.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1206.0,12.25,VERTEX 50,1382.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1207.0,12.25,VERTEX 50,1108.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1208.0,12.25,VERTEX 50,1093.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1209.0,12.25,VERTEX 50,1102.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1304.0,12.25,VERTEX 50,1133.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1305.0,12.25,VERTEX 50,1119.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1306.0,12.25,VERTEX 50,1114.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1307.0,12.25,VERTEX 50,1115.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1308.0,12.25,VERTEX 50,1055.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1309.0,12.25,VERTEX 50,1099.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1310.0,12.25,VERTEX 50,1123.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1311.0,12.25,VERTEX 50,1116.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1404.0,12.25,VERTEX 50,1141.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1405.0,12.25,VERTEX 50,1135.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
MAF9-SE-3320-04,1406.0,12.25,VERTEX 50,1138.0,,VERTEX 50,100.0,0.0,,,5.5,,,,,,,,,,,,,
