MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3305-13,1601.0,12.25,VERTEX 50,904.0,,,,2.0,,,6.0,,,,,,,,,,,,,
MAF10-N-3305-13,1602.0,12.25,VERTEX 50,904.0,,,,2.0,,,6.0,,,,,,,,,,,,,
MAF10-N-3305-13,1603.0,12.25,VERTEX 50,904.0,,,,2.0,,,6.0,,,,,,,,,,,,,
MAF10-N-3305-14,1209.0,12.25,VERTEX 50,803.0,,,,2.0,,,6.0,,,,,,,,,,,,,
MAF10-N-3305-14,1308.0,12.25,VERTEX 50,803.0,,,,2.0,,,6.0,,,,,,,,,,,,,
MAF10-N-3305-14,1407.0,12.25,VERTEX 50,803.0,,,,2.0,,,6.0,,,,,,,,,,,,,
MAF10-N-3305-14,1408.0,12.25,VERTEX 50,803.0,,,,2.0,,,6.0,,,,,,,,,,,,,
MAF10-N-3305-14,1503.0,12.25,VERTEX 50,803.0,,,,2.0,,,6.0,,,,,,,,,,,,,
MAF10-N-3305-14,1504.0,12.25,VERTEX 50,803.0,,,,2.0,,,6.0,,,,,,,,,,,,,
MAF10-N-3305-14,1505.0,12.25,VERTEX 50,803.0,,,,2.0,,,6.0,,,,,,,,,,,,,
