MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF9-SE-3425-03,1817,12.25,VERTEX 50,1054.0,,,,,,,5.5,,,VERTEX 50,,,,,,,,,,
MAF9-SE-3425-03,4024,10.625,VERTEX 50,680.0,,,,,,,6.0,,,,,,,,,,,,,
MAF9-SE-3425-03,4038,10.625,VERTEX 50,793.0,,,,,,,6.0,,,,,,,,,,,,,
MAF9-SE-3425-03,6002,12.25,VERTEX 50,1054.0,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,6003,12.25,VERTEX 50,1054.0,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,6009,12.25,VERTEX 50,1054.0,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,6010,12.25,VERTEX 50,1054.0,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,6069,12.25,VERTEX 50,1074.577754,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,7013,12.25,VERTEX 50,1074.577754,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,7014,12.25,VERTEX 50,1074.577754,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,7022,12.25,VERTEX 50,1054.492189,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5030,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5031,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5033,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5035,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5036,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5041,6.5,VERTEX 50,296.891595,,,,,,,5.5,,x,,,,,,,,,,,
MAF9-SE-3425-03,5045,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5046,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5047,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5048,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5056,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5057,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5058,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5059,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5089,6.5,VERTEX 50,254.47851,,,,,,,7.0,,,,,,,,,,,,,
MAF9-SE-3425-03,5098,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
MAF9-SE-3425-03,5110,6.5,VERTEX 50,296.891595,,,,,,,5.5,,,,,,,,,,,,,
