MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF11-W-3875-01,Aux,6.5,,,,,,,,,,,17.5,Vertex 50,394.0,,,,,,,3.5,,
MAF11-W-3875-01,Aux,6.5,,,,,,,,,,,16.0,Vertex 50,352.0,,,,,,,3.5,,
MAF11-W-3875-01,Aux,9.875,,,,,,,,,,,16.0,Vertex 50,643.0,,,,,,,6.0,,
MAF11-W-3875-01,Aux,7.875,,,,,,,,,,,16.0,Vertex 50,450.0,,,,,,,5.1,,
MAF11-W-3875-01,Aux,6.5,,,,,,,,,,,16.5,Vertex 50,325.0,,,,,,,5.0,,
MAF11-W-3875-01,Aux,6.5,,,,,,,,,,,15.5,Vertex 50,295.0,,,,,,,5.0,,
MAF11-W-3875-01,Aux,6.5,,,,,,,,,,,17.0,Vertex 50,370.0,,,,,,,5.0,,
MAF11-W-3875-01,Aux,6.5,,,,,,,,,,,18.0,Vertex 50,400.0,,,,,,,5.0,,
MAF11-W-3875-01,804,7.875,,,,,,,,,,,16.0,Vertex 50,643.0,,,,,,,6.0,,
MAF11-W-3875-01,703,7.875,,,,,,,,,,,16.0,Vertex 50,643.0,,,,,,,6.0,,
MAF11-W-3875-01,Aux,6.5,,,,,,,,,,,16.0,Vertex 50,336.0,,,,,,,6.0,,
MAF11-W-3875-01,Aux,6.5,,,,,,,,,,,16.0,Vertex 50,400.0,,,,,,,6.0,,
MAF11-W-3875-01,Aux,6.5,,,,,,,,,,,16.0,Vertex 50,384.0,,,,,,,3.8,,
MAF11-W-3875-01,Aux,6.5,,,,,,,,,,,15.0,Vertex 50,352.0,,,,,,,3.7,,
MAF11-W-3875-01,Aux,6.5,,,,,,,,,,,15.0,Vertex 50,352.0,,,,,,,4.0,,
MAF11-W-3875-01,Aux,6.5,,,,,,,,,,,7.0,Vertex 50,100.0,,,,,,,3.5,,
